Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-19,13:14:30.8538,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:17.5595,Continuous,KeyDown,1,0,0,1,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:17.8023,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:18.0358,Continuous,KeyDown,1,0,0,1,r,Correct,R,0,2337043,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:18.2848,Continuous,KeyDown,1,0,0,1,w,Correct,W,0,2502506,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:18.5194,Continuous,KeyDown,1,0,0,1,e,Correct,E,0,233375,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:18.5204,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0,7173299,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:18.8358,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:19.0355,Continuous,KeyDown,1,0,0,1,r,Correct,R,0,2001908,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:19.2199,Continuous,KeyDown,1,0,0,1,w,Correct,W,0,183958,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:19.4867,Continuous,KeyDown,1,0,0,1,e,Correct,E,0,2665996,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:19.4867,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0,6507484,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:19.7534,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:20.0033,Continuous,KeyDown,1,0,0,1,r,Correct,R,0,2501144,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:20.1878,Continuous,KeyDown,1,0,0,1,w,Correct,W,0,1834665,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:20.3878,Continuous,KeyDown,1,0,0,1,e,Correct,E,0,2002068,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:20.3878,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0,6337877,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:20.6045,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:20.8384,Continuous,KeyDown,1,0,0,1,r,Correct,R,0,2337316,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:21.0213,Continuous,KeyDown,1,0,0,1,w,Correct,W,0,1836294,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:21.2557,Continuous,KeyDown,1,0,0,1,e,Correct,E,0,2336291,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:21.2557,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0,6509901,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:21.4886,Continuous,KeyDown,1,0,0,1,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:21.7554,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:22.1728,Continuous,KeyDown,1,0,0,1,r,Correct,R,0,416865,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:22.3229,Continuous,KeyDown,1,0,0,1,w,Correct,W,0,1504188,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:22.5563,Continuous,KeyDown,1,0,0,1,e,Correct,E,0,2332975,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:22.5563,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0,8005813,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:22.8234,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:23.0575,Continuous,KeyDown,1,0,0,1,r,Correct,R,0,2338002,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:23.2571,Continuous,KeyDown,1,0,0,1,w,Correct,W,0,2002653,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:23.5086,Continuous,KeyDown,1,0,0,1,e,Correct,E,0,2502392,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:23.5086,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0,6843047,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:23.7919,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:23.8408,Continuous,Sequence Failed,1,0,0,1,NA,NA,NA,NA,0,0497595,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:23.8428,Continuous,InputWindowOver,1,0,1,1,NA,NA,NA,NA,NA,6,1,2,7,Got Fish,NA,NA,
2020-05-19,13:17:43.4960,Continuous,KeyDown,1,0,1,2,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:43.7297,Continuous,KeyDown,1,0,1,2,e,Failed,T,0,2332879,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:43.9633,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,2335988,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:44.1469,Continuous,KeyDown,1,0,1,2,r,Correct,R,0,1837375,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:44.3473,Continuous,KeyDown,1,0,1,2,w,Correct,W,0,1999751,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:44.5641,Continuous,KeyDown,1,0,1,2,e,Correct,E,0,216917,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:44.5641,Continuous,Sequence Success,1,0,1,2,NA,NA,NA,NA,1,067516,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:44.7986,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:44.9979,Continuous,KeyDown,1,0,1,2,r,Correct,R,0,1998085,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:45.1644,Continuous,KeyDown,1,0,1,2,w,Correct,W,0,1671873,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:45.3824,Continuous,KeyDown,1,0,1,2,e,Correct,E,0,2167099,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:45.3824,Continuous,Sequence Success,1,0,1,2,NA,NA,NA,NA,0,5837057,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:45.5821,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:45.7653,Continuous,KeyDown,1,0,1,2,r,Correct,R,0,1833827,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:45.9321,Continuous,KeyDown,1,0,1,2,w,Correct,W,0,1667452,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:46.1496,Continuous,KeyDown,1,0,1,2,e,Correct,E,0,2172987,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:46.1496,Continuous,Sequence Success,1,0,1,2,NA,NA,NA,NA,0,5674266,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:46.3665,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:46.5663,Continuous,KeyDown,1,0,1,2,r,Correct,R,0,1998966,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:46.7159,Continuous,KeyDown,1,0,1,2,w,Correct,W,0,1504021,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:46.9671,Continuous,KeyDown,1,0,1,2,e,Correct,E,0,2504924,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:46.9671,Continuous,Sequence Success,1,0,1,2,NA,NA,NA,NA,0,6007911,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:47.1835,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:47.4015,Continuous,KeyDown,1,0,1,2,r,Correct,R,0,2170366,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:47.5674,Continuous,KeyDown,1,0,1,2,w,Correct,W,0,1668188,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:47.7840,Continuous,KeyDown,1,0,1,2,e,Correct,E,0,2173427,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:47.7840,Continuous,Sequence Success,1,0,1,2,NA,NA,NA,NA,0,6011981,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:47.9843,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:48.1848,Continuous,KeyDown,1,0,1,2,r,Correct,R,0,2000276,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:48.3360,Continuous,KeyDown,1,0,1,2,w,Correct,W,0,1504936,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:48.5515,Continuous,KeyDown,1,0,1,2,e,Correct,E,0,216691,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:48.5515,Continuous,Sequence Success,1,0,1,2,NA,NA,NA,NA,0,5672122,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:48.7516,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:48.9850,Continuous,KeyDown,1,0,1,2,r,Correct,R,0,2335717,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:49.1516,Continuous,KeyDown,1,0,1,2,w,Correct,W,0,1665951,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:49.3862,Continuous,KeyDown,1,0,1,2,e,Correct,E,0,2338367,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:49.3862,Continuous,Sequence Success,1,0,1,2,NA,NA,NA,NA,0,6340035,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:49.6196,Continuous,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:49.8523,Continuous,KeyDown,1,0,1,2,r,Correct,R,0,2335802,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:50.0199,Continuous,Sequence Failed,1,0,1,2,NA,NA,NA,NA,0,40023,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:17:50.0199,Continuous,InputWindowOver,1,0,2,2,NA,NA,NA,NA,NA,7,1,1,8,Got Fish,NA,NA,
2020-05-19,13:18:09.7091,Continuous,KeyDown,1,8,2,3,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:09.9419,Continuous,KeyDown,1,8,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:10.1426,Continuous,KeyDown,1,8,2,3,r,Correct,R,0,2000679,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:10.3261,Continuous,KeyDown,1,8,2,3,w,Correct,W,0,1834747,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:10.5765,Continuous,KeyDown,1,8,2,3,e,Correct,E,0,2502375,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:10.5765,Continuous,Sequence Success,1,8,2,3,NA,NA,NA,NA,0,6337802,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:10.7761,Continuous,KeyDown,1,8,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:11.0436,Continuous,KeyDown,1,8,2,3,r,Correct,R,0,2672057,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:11.2604,Continuous,KeyDown,1,8,2,3,w,Correct,W,0,2174056,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:11.5274,Continuous,KeyDown,1,8,2,3,e,Correct,E,0,2664063,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:11.5274,Continuous,Sequence Success,1,8,2,3,NA,NA,NA,NA,0,7510176,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:11.7774,Continuous,KeyDown,1,8,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:11.9607,Continuous,KeyDown,1,8,2,3,r,Correct,R,0,1838295,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:12.1113,Continuous,KeyDown,1,8,2,3,w,Correct,W,0,1504474,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:12.3289,Continuous,KeyDown,1,8,2,3,e,Correct,E,0,2168233,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:12.3289,Continuous,Sequence Success,1,8,2,3,NA,NA,NA,NA,0,5511002,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:12.5454,Continuous,KeyDown,1,8,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:12.7279,Continuous,KeyDown,1,8,2,3,r,Correct,R,0,1833813,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:12.8615,Continuous,KeyDown,1,8,2,3,w,Correct,W,0,1334438,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:13.0625,Continuous,KeyDown,1,8,2,3,e,Correct,E,0,2005167,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:13.0625,Continuous,Sequence Success,1,8,2,3,NA,NA,NA,NA,0,5173418,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:13.3290,Continuous,KeyDown,1,8,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:13.5293,Continuous,KeyDown,1,8,2,3,r,Correct,R,0,2001334,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:13.6963,Continuous,KeyDown,1,8,2,3,w,Correct,W,0,1668948,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:13.8966,Continuous,KeyDown,1,8,2,3,e,Correct,E,0,2002018,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:13.8966,Continuous,Sequence Success,1,8,2,3,NA,NA,NA,NA,0,56723,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:14.1637,Continuous,KeyDown,1,8,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:14.4471,Continuous,KeyDown,1,8,2,3,r,Correct,R,0,2834685,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:14.6303,Continuous,KeyDown,1,8,2,3,w,Correct,W,0,1836442,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:14.8478,Continuous,KeyDown,1,8,2,3,e,Correct,E,0,2169183,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:14.8478,Continuous,Sequence Success,1,8,2,3,NA,NA,NA,NA,0,684031,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:15.0977,Continuous,KeyDown,1,8,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:15.2812,Continuous,KeyDown,1,8,2,3,r,Correct,R,0,1838369,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:15.4490,Continuous,KeyDown,1,8,2,3,w,Correct,W,0,166518,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:15.6654,Continuous,KeyDown,1,8,2,3,e,Correct,E,0,2169081,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:15.6654,Continuous,Sequence Success,1,8,2,3,NA,NA,NA,NA,0,567263,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:15.7992,Continuous,InputWindowOver,1,8,2,3,NA,NA,NA,NA,NA,7,0,2,7,Fish Escaped,NA,NA,
2020-05-19,13:18:36.6540,Continuous,KeyDown,1,1,2,4,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:36.8888,Continuous,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:37.0883,Continuous,KeyDown,1,1,2,4,r,Correct,R,0,2001844,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:37.2554,Continuous,KeyDown,1,1,2,4,w,Correct,W,0,1669963,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:37.4724,Continuous,KeyDown,1,1,2,4,e,Correct,E,0,2169554,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:37.4724,Continuous,Sequence Success,1,1,2,4,NA,NA,NA,NA,0,5841361,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:37.7068,Continuous,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:37.8893,Continuous,KeyDown,1,1,2,4,r,Correct,R,0,183474,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:38.1233,Continuous,KeyDown,1,1,2,4,w,Correct,W,0,2338766,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:38.3064,Continuous,KeyDown,1,1,2,4,e,Correct,E,0,1832576,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:38.3064,Continuous,Sequence Success,1,1,2,4,NA,NA,NA,NA,0,6006082,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:38.5404,Continuous,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:38.7235,Continuous,KeyDown,1,1,2,4,r,Correct,R,0,1836023,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:38.9074,Continuous,KeyDown,1,1,2,4,w,Correct,W,0,183476,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:39.1073,Continuous,KeyDown,1,1,2,4,e,Correct,E,0,2004142,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:39.1082,Continuous,Sequence Success,1,1,2,4,NA,NA,NA,NA,0,5674924,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:39.3576,Continuous,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:39.5414,Continuous,KeyDown,1,1,2,4,r,Correct,R,0,1838445,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:39.7081,Continuous,KeyDown,1,1,2,4,w,Correct,W,0,1666166,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:39.9258,Continuous,KeyDown,1,1,2,4,e,Correct,E,0,2169652,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:39.9258,Continuous,Sequence Success,1,1,2,4,NA,NA,NA,NA,0,5674263,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:40.1752,Continuous,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:40.3756,Continuous,KeyDown,1,1,2,4,r,Correct,R,0,2005395,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:40.5426,Continuous,KeyDown,1,1,2,4,w,Correct,W,0,1665729,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:40.7424,Continuous,KeyDown,1,1,2,4,e,Correct,E,0,2001474,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:40.7424,Continuous,Sequence Success,1,1,2,4,NA,NA,NA,NA,0,5672598,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:41.0264,Continuous,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:41.2096,Continuous,KeyDown,1,1,2,4,r,Correct,R,0,1838385,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:41.3937,Continuous,KeyDown,1,1,2,4,w,Correct,W,0,1835212,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:41.6101,Continuous,KeyDown,1,1,2,4,e,Correct,E,0,2167503,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:41.6101,Continuous,Sequence Success,1,1,2,4,NA,NA,NA,NA,0,58411,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:41.8605,Continuous,KeyDown,1,1,2,4,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:42.2269,Continuous,KeyDown,1,1,2,4,e,Failed,T,0,3666279,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:42.5786,Continuous,KeyDown,1,1,2,4,t,Correct,T,0,3504706,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:42.7449,Continuous,KeyDown,1,1,2,4,r,Correct,R,0,1669929,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:42.9114,Continuous,KeyDown,1,1,2,4,w,Correct,W,0,1668608,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:43.0278,Continuous,Sequence Failed,1,1,2,4,NA,NA,NA,NA,1,167739,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:18:43.0278,Continuous,InputWindowOver,1,1,3,4,NA,NA,NA,NA,NA,6,1,4,7,Got Fish,NA,NA,
2020-05-19,13:19:02.5833,Continuous,KeyDown,1,1,3,5,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
